site,type,responsable,surface_m2,annee,description
Grandes Portes,sondage,Equipe Archéorient,1200,2018,Sondage du rempart interne peu exploré
Parc aux Chevaux - PC15,fouille,Equipe Archéorient,800,2017,Fouille de l’espace public sous terrasse PC15
Domus PC2,fouille,Equipe Archéorient,600,2018,Fouille de la domus augustéenne PC2
Chaume,géophysique,Université de Brno,5000,2019,Prospection géophysique sur le sommet
Terrasse (La Place aux Laides),géophysique,Université de Bourgogne,4500,2020,Étude du parcellaire et des terrasses
Sources de l'Yonne,sondage,Equipe Archéorient,300,2021,Sondage dans sanctuaire gallo-romain
Champlain,relevé topographique,Université Rzeszow,1000,2019,Relevé transect artisanal et géophysique
Fontaine Saint-Martin,géophysique,Université Dijon,3500,2020,Prospection autour porte B7
Maison 12,fouille,Université Lyon 2,1100,2018,Fouille domestique gallo-romaine
Oppidum Est,sondage,Université de Genève,900,2021,Sondage sur les remparts périphériques
Terrasse du Cerf,géophysique,Université Strasbourg,4200,2022,Prospection magnétique en crête
PC3 Sud,fouille,Université de Lausanne,1300,2019,Fouille d’habitat aristocratique
Sources de l’Yonne,géophysique,Université de Lyon 3,3100,2020,Relevé géophysique complémentaire
Colline Ouest,sondage,Inrap,750,2021,Évaluation préventive pour sentier d’accès
